Team,Number,Name,Position,Height,Weight,Year,Hometown
BC,48,Jake Wilhelm,K,"5'8""",147,So,Amherst MA
UVA,26,Anthony Calloway,RB,"5'8""",150,Fr,Lynchburg VA
FSU,15,Matthew Finn,K,"6'0""",151,So,Maitland FL
FSU,22,Emmanuel Johnson,RB,"5'5""",153,Fr,Jacksonville FL
CLEM,37,Ross Sparks,RB,"5'7""",155,So,Winnsboro SC
BC,46,E.J. Fortenberry,DB,"5'9""",157,Fr,Santa Monica CA
LOU,33,Jordan Streeter,DB,"5'9""",157,Jr,Florence KY
FSU,94,Michael Dougherty,K,"5'9""",160,So,Valrico FL
CUSE,37,Ross Krautman,K,"5'7""",160,Sr,Franklin Lakes NJ
CUSE,25,Eric Jackson,CB,"5'7""",160,Jr,Inglewood CA
MIAMI,21,Josh Johnson,WR,"5'5""",160,Fr,Jacksonville FL
CLEM,85,Seth Ryan,WR,"5'11""",160,Fr,Summit NJ
MIAMI,35,John D'Uva,WR,"5'10""",160,Jr,Ridgewood NJ
UVA,10,C.J. Moore,CB,"5'10""",160,So,Buford GA
CUSE,40,Alex Schoen,CB,"5'7""",161,So,Short Hills NJ
VT,22,Eric Kristensen,K,"5'11""",162,So,Ann Arbor MI
LOU,35,Anthony George,K,"6'1""",164,So,Louisville KY
VT,,R.J. Warfel,K,"5'10""",164,Fr,Paeonian Springs VA
UNC,40,Luke Heavner,WR,"6'1""",165,So,Jamestown NC
WAKE,18,John Armstrong,WR,"5'9""",165,So,Orlando FL
PITT,14,Avonte Maddox,DB,"5'9""",165,Fr,Detroit MI
MIAMI,49,Aaron Martinez,K,"5'8""",165,So,San Diego CA
DUKE,10,Ryan Smith,WR,"5'7""",165,So,Las Vegas NV
GT,38,Sam McNearney,RB,"5'6""",165,Sr,Atlanta GA
CLEM,21,Adrian Baker,CB,"5'11""",165,Fr,Hollywood FL
DUKE,17,Hud Mellencamp,CB,"5'11""",165,Jr,Bloomington IN
UNC,37,T.J. Jiles,CB,"5'11""",165,Jr,Cape Coral FL
DUKE,43,Danny Stirt,K,"5'10""",165,So,Gainesville FL
LOU,6,Shaq Wiggins,CB,"5'10""",165,So,Tyrone GA
UNC,19,Kedrick Davis,CB,"5'10""",165,Fr,Charlotte NC
FSU,13,Rashad Gholston,WR,"5'10""",167,Sr,Miami FL
GT,8,Andrew Chau,K,"5'10""",167,Jr,Griffin GA
GT,,Dillon Moore,K,"6'1""",168,Fr,College Station TX
FSU,27,Marquez White,DB,"6'1""",168,So,Dothan AL
LOU,81,Chris Miele,WR,"6'2""",170,Fr,Louisville KY
PITT,39,Jaquaun Davidson,WR,"6'2""",170,Fr,Elizabeth PA
DUKE,82,Chris Taylor,WR,"6'1""",170,Fr,Miramar FL
BC,20,Isaac Yiadom,DB,"6'1""",170,Fr,Worcester MA
DUKE,4,Johnell Barnes,WR,"6'0""",170,So,Lehigh Acres FL
FSU,83,Dan O'Neill,WR,"6'0""",170,Jr,Jupiter FL
WAKE,25,Brad Watson,CB,"6'0""",170,So,Round Rock TX
GT,20,Lawrence Austin,DB,"5'9""",170,Fr,Barnesville GA
NCSU,12,Nicholas Lacy,DB,"5'9""",170,Fr,Pinehurst NC
DUKE,30,Jared Boyd,CB,"5'9""",170,Jr,Stone Mountain GA
PITT,10,Ronald Jones,WR,"5'8""",170,Jr,Fort Meade FL
GT,44,Denis Onwuala,DB,"5'8""",170,So,Alpharetta GA
CLEM,82,Adrien Dunn,WR,"5'7""",170,Fr,Clemson SC
GT,82,Qua Searcy,WR,"5'11""",170,Fr,Barnesville GA
LOU,31,Dontez Byrd,WR,"5'11""",170,So,Louisville KY
UVA,2,Dominique Terrell,WR,"5'11""",170,Sr,Manassas VA
GT,8,Myles Autry,RB,"5'11""",170,Fr,Norcross GA
PITT,19,Terrish Webb,DB,"5'11""",170,Fr,Clairton PA
CLEM,29,Marcus Edmond,CB,"5'11""",170,Fr,Hopkins SC
DUKE,39,Zach Muniz,CB,"5'11""",170,Fr,Chesterfield MO
DUKE,21,Alonzo Saxton II,CB,"5'11""",170,Fr,Columbus OH
UVA,37,Divante Walker,CB,"5'11""",170,So,Virginia Beach VA
FSU,15,DeShawn Simpkins,WR,"5'10""",170,Fr,Miami FL
VT,,Zakeel Muhammad,S,"5'10""",170,Fr,Richmond VA
GT,17,Lance Austin,DB,"5'10""",170,Fr,Barnesville GA
PITT,32,Phillipie Motley,DB,"5'10""",170,Fr,Columbus OH
VT,,Curtis Williams,CB,"5'10""",170,So,Amelia VA
WAKE,29,Deonte Davis,CB,"5'10""",170,So,Snellville GA
WAKE,23,James Ward,CB,"5'10""",170,Jr,DeLand FL
UNC,29,Taylor Vippolis,WR,"5'10""",170,So,Stony Point NY
LOU,17,James Quick,WR,"6'2""",171,So,Louisville KY
VT,,Erikk Banks,CB,"5'9""",171,Fr,Coeburn VA
MIAMI,18,Matt Goudis,K,"6'0""",172,Jr,West Hills CA
CUSE,20,Brisly Estime,WR,"5'9""",172,So,Delray Beach FL
LOU,4,Robert Clark,WR,"5'9""",173,Sr,Palm Beach Gardens FL
GT,7,B.J. Bostic,RB,"5'11""",173,Sr,Louisville GA
BC,17,Bryce Jones,DB,"6'1""",174,Jr,University Heights OH
LOU,3,Charles Gaines,CB,"5'11""",174,Jr,Miami FL
LOU,35,Devontre Parnell,CB,"5'11""",174,So,Winnsboro SC
MIAMI,17,Isaac Hoza,QB,"6'3""",175,Fr,Ft. Lauderdale FL
PITT,27,Trenton Coles,DB,"6'3""",175,So,Clairton PA
FSU,88,Jeren Kowalewski,WR,"6'2""",175,Fr,Bradenton FL
GT,80,Anthony Autry,WR,"6'2""",175,So,Norcross GA
DUKE,84,Trevon Lee,WR,"6'1""",175,Fr,Plantation FL
LOU,85,Cody Swabeck,WR,"6'1""",175,Fr,Louisville KY
PITT,21,Titus Howard,DB,"6'1""",175,So,Clairton PA
UNC,2,Des Lawrence,DB,"6'1""",175,So,Charlotte NC
NCSU,21,Elliott Davis,CB,"6'1""",175,Fr,Gaithersburg MD
WAKE,9,Kevin Johnson,CB,"6'1""",175,Sr,Clarksville MD
FSU,80,Rashad Greene,WR,"6'0""",175,Sr,Albany GA
UNC,20,Will O'Briant,K,"6'0""",175,Fr,Asheboro NC
MIAMI,45,Andrew McClelland,DB,"6'0""",175,So,Wilmington DE
DUKE,31,Breon Borders,CB,"6'0""",175,So,Statesville NC
LOU,45,Mitchell Nelson,CB,"6'0""",175,Jr,Louisville KY
WAKE,20,Chuck Schlegel,CB,"6'0""",175,Sr,Sunbury PA
DUKE,3,Jamison Crowder,WR,"5'9""",175,Sr,Monroe NC
UNC,7,Austin Proehl,WR,"5'9""",175,Fr,Charlotte NC
DUKE,27,DeVon Edwards,S,"5'9""",175,So,Covington GA
GT,18,Zach Allen,DB,"5'9""",175,So,Roswell GA
CLEM,31,Ryan Carter,CB,"5'9""",175,Fr,Loganville GA
CLEM,83,Daniel Rodriguez,WR,"5'8""",175,Sr,Stafford VA
DUKE,34,Eric Adams,RB,"5'8""",175,Sr,Gulf Breeze FL
GT,9,Tony Zenon,RB,"5'8""",175,Sr,Albany GA
DUKE,32,Jamie Cockey,CB,"5'8""",175,Jr,Montclair NJ
MIAMI,24,Stephen Sweeney,WR,"5'11""",175,Jr,Ridgewood NJ
NCSU,87,Maurice Trowell,WR,"5'11""",175,Fr,Durham NC
UVA,6,Darius Jennings,WR,"5'11""",175,Sr,Baltimore MD
CLEM,,Jae'lon Oglesby,RB,"5'11""",175,Fr,Central SC
UVA,36,Kye Morgan,RB,"5'11""",175,So,Somerset NJ
CUSE,4,AJ Long,QB,"5'11""",175,Fr,Lebanon TN
FSU,23,Je'Twan Smith,DB,"5'11""",175,Jr,Plant City FL
GT,29,Step Durham,DB,"5'11""",175,Fr,Jacksonville FL
PITT,10,Jahmahl Pardner,DB,"5'11""",175,Fr,Rochester NY
UNC,21,Jalen Dickerson,DB,"5'11""",175,Fr,Richland TX
UNC,28,Brian Walker,CB,"5'11""",175,So,Charlotte NC
CUSE,43,Franklin Santos,WR,"5'10""",175,Sr,Providence RI
LOU,30,Tae'Shawn Gibbs,WR,"5'10""",175,So,Louisville KY
PITT,88,Kevin Weatherspoon,WR,"5'10""",175,Sr,Clairton PA
UNC,3,Ryan Switzer,WR,"5'10""",175,So,Charleston WV
CUSE,24,Jaston George,S,"5'10""",175,Jr,Chesapeake VA
CUSE,39,Greg Tobias,RB,"5'10""",175,Sr,Sicklerville NJ
UNC,25,Reid Baxter,RB,"5'10""",175,Fr,Greensboro NC
CLEM,32,Corbin Jenkins,K,"5'10""",175,Sr,Conway SC
CLEM,36,Ammon Lakip,K,"5'10""",175,Jr,Johns Creek GA
FSU,13,Javien Elliott,WR,"5'11""",175,Jr,Panama City FL
NCSU,30,Gavin Locklear,WR,"5'10""",176,Fr,Apex NC
LOU,38,Brandon Joseph,CB,"5'8""",176,Sr,Miami FL
FSU,8,Kermit Whitfield,WR,"5'9""",177,So,Orlando FL
GT,42,Roberto Hinojosa,K,"5'10""",177,Jr,Suwanee GA
VT,80,Demitri Knowles,WR,"6'1""",178,Jr,Lynchburg VA
FSU,11,John Franklin III,QB,"6'1""",178,Fr,Plantation FL
FSU,45,Will Burnham,RB,"6'0""",178,Jr,Lithia FL
VT,,Remington Hinshaw,K,"5'8""",178,Jr,Roanoke VA
BC,21,Manuel Asprilla,DB,"5'11""",178,Sr,Everett MA
NCSU,80,Bryan Underwood,WR,"5'9""",179,Sr,University Heights OH
CUSE,42,Joe Stanard,CB,"5'9""",179,So,Baldwinsville NY
GT,5,Justin Thomas,QB,"5'11""",179,So,Prattville AL
CUSE,12,Ryan Norton,K,"5'11""",179,Jr,Garden City NY
VT,29,Terrence Travis,CB,"5'10""",179,Fr,Blacksburg VA
WAKE,83,Jonathan Williams,WR,"6'4""",180,So,Atlanta GA
LOU,88,Javonte Bagley,WR,"6'3""",180,Fr,Vero Beach FL
WAKE,12,Tyree Harris,WR,"6'3""",180,So,Marietta GA
WAKE,7,Maddox Stamey,WR,"6'2""",180,So,Rutherfordton NC
PITT,35,Jalen Williams,DB,"6'2""",180,Fr,Newburgh NY
LOU,22,Charles Williams,CB,"6'2""",180,So,Hialeah FL
DUKE,86,Terrence Alls,WR,"6'1""",180,Fr,Miami Gardens FL
UNC,35,Damien Washington,WR,"6'1""",180,Jr,Kannapolis NC
UNC,31,Blake Bozymski,P,"6'1""",180,Fr,Winston-Salem NC
WAKE,18,Mike Weaver,P,"6'1""",180,Fr,Pine City NY
CLEM,5,Germone Hopper,WR,"6'0""",180,So,Charlotte NC
CUSE,13,Corey Winfield,WR,"6'0""",180,Fr,St. Louis MO
MIAMI,34,Josh Harris,WR,"6'0""",180,Fr,Muttontown NY
MIAMI,31,Malik Mayweather,WR,"6'0""",180,Fr,Olive Branch MS
LOU,27,Jermaine Reve,S,"6'0""",180,Jr,Miami FL
BC,42,Austin Brown,DB,"6'0""",180,So,Simi Valley CA
UVA,22,Drequan Hoskey,CB,"6'0""",180,Sr,Richmond VA
LOU,26,De'Eric Culver,CB,"6'0""",180,Fr,Tallahassee FL
DUKE,29,Shaun Wilson,RB,"5'9""",180,Fr,Charlotte NC
MIAMI,2,Joseph Yearby,RB,"5'9""",180,Fr,Miami FL
DUKE,35,Ross Martin,K,"5'9""",180,Jr,Solon OH
CUSE,19,Joe Nassib,CB,"5'9""",180,Sr,Newton Square PA
FSU,3,Jesus Wilson,WR,"5'11""",180,So,Miami FL
GT,85,Will Smith,WR,"5'11""",180,So,St. Louis MO
UVA,19,Tyler Lewris,WR,"5'11""",180,Sr,Great Falls VA
DUKE,33,Deondre Singleton,S,"5'11""",180,So,Dacula GA
UNC,40,Ben Craig,LB,"5'11""",180,So,Huntersville NC
MIAMI,35,Nate Dortch,DB,"5'11""",180,So,Fort Myers FL
DUKE,14,Bryon Fields,CB,"5'11""",180,So,Charlotte NC
UNC,11,Malik Simmons,CB,"5'11""",180,Jr,Lehigh Acres FL
UVA,2,Kirk Garner,CB,"5'11""",180,Fr,Baltimore MD
DUKE,38,Grant Hall,S,"5'10""",180,So,Suwanne GA
MIAMI,45,Dominic Sicilian,S,"5'10""",180,So,Hebron OH
UNC,8,T.J. Logan,RB,"5'10""",180,So,Greensboro NC
MIAMI,24,Michael Badgley,K,"5'10""",180,Fr,Summit NJ
LOU,29,Trumaine Washington,CB,"5'10""",180,Fr,Miami FL
WAKE,7,Merrill Noel,CB,"5'10""",180,Sr,Pahokee FL
NCSU,34,Ben Grazen,WR,"5'10""",181,Fr,Cary NC
CUSE,25,Jeremiah Kobena,WR,"6'0""",182,Sr,New York NY
VT,28,Chris Mangus,RB,"6'0""",182,So,Raleigh NC
MIAMI,40,Grant Coffman,P,"5'8""",182,Fr,Dublin OH
MIAMI,48,Josh Bacon,K,"5'11""",182,Fr,Melville NY
LOU,6,Eli Rogers,WR,"5'10""",182,Sr,Miami FL
FSU,6,Nick Waisome,DB,"5'10""",182,Jr,Groveland FL
MIAMI,29,Corn Elder,DB,"5'10""",182,So,Nashville TN
VT,12,Michael Brewer,QB,"6'1""",183,Jr,Lake Travis TX
MIAMI,24,Larry Hope,DB,"6'0""",183,So,Miami FL
LOU,24,Zykiesis Cannon,CB,"6'0""",183,Fr,Mauldin SC
GT,41,Austin McClellan,RB,"5'9""",183,So,Wildwood FL
BC,6,C.J. Jones,DB,"5'11""",183,Sr,Wilmington DE
CUSE,83,Sean Avant,WR,"5'10""",183,Fr,Miramar FL
VT,82,Willie Byrn,WR,"5'10""",183,Sr,Virginia Beach VA
NCSU,47,William Stephenson,P,"6'3""",184,So,Raleigh NC
CUSE,7,Troy Green,QB,"6'0""",184,So,Skaneateles NY
LOU,36,Kevin Houchins,S,"5'11""",184,So,South Euclid OH
MIAMI,3,Tracy Howard,DB,"5'11""",184,Jr,Miramar FL
GT,28,D.J. White,CB,"5'11""",184,Jr,McDonough GA
UNC,14,Quinshad Davis,WR,"6'4""",185,Jr,Gaffney SC
CLEM,,Trevion Thompson,WR,"6'3""",185,Fr,Durham NC
LOU,84,Gio Pascasio,WR,"6'3""",185,So,Glendale AZ
NCSU,99,Ryan Stevens,K,"6'3""",185,So,Raleigh NC
FSU,87,Jared Jackson,WR,"6'2""",185,So,Monticello FL
LOU,87,Cameron Polk,WR,"6'2""",185,Fr,Fishers IN
WAKE,11,Airyn Willis,WR,"6'2""",185,Jr,High Point NC
FSU,16,Alfredo Davis,TE,"6'2""",185,Fr,Miami FL
WAKE,11,Anthony Wooding Jr.,S,"6'2""",185,Sr,Folkston GA
WAKE,15,Brendan Wood,QB,"6'2""",185,Fr,Mendham NJ
UVA,26,Maurice Canady,CB,"6'2""",185,Jr,Richmond VA
CLEM,17,Kyrin Priester,WR,"6'1""",185,Fr,Snellville GA
FSU,82,Bryan LaCivita,WR,"6'1""",185,Fr,Gainesville FL
MIAMI,3,Stacy Coley,WR,"6'1""",185,So,Pompano Beach FL
UNC,85,Devin Perry,WR,"6'1""",185,Fr,Memphis TN
VT,18,David Prince,WR,"6'1""",185,Fr,Roanoke VA
WAKE,82,P.J. Howard IV,WR,"6'1""",185,Jr,Portsmouth VA
PITT,29,Rachid Ibrahim,RB,"6'1""",185,So,Rockville MD
GT,12,Will Somers,P,"6'1""",185,Fr,Johns Creek GA
WAKE,27,Chad Hedlund,K,"6'1""",185,Jr,Argyle TX
MIAMI,27,Ryan Mayes,DB,"6'1""",185,Fr,Miami FL
DUKE,11,T.J. Douglas,CB,"6'1""",185,Fr,Fort Myers FL
GT,49,Clinton Lynch,WR,"6'0""",185,Fr,Norcross GA
LOU,85,George Clements,WR,"6'0""",185,So,Willow Spring NC
DUKE,20,Jake Kite,S,"6'0""",185,Fr,Roanoke VA
UVA,21,Brandon Phelps,S,"6'0""",185,Sr,Damascus MD
GT,17,Ty Griffin,QB,"6'0""",185,Fr,Atlanta GA
UNC,55,Marlon Petty,LB,"6'0""",185,Fr,McLeansville NC
UNC,98,Freeman Jones,K,"6'0""",185,Fr,Bunn NC
UVA,91,Dylan Sims,K,"6'0""",185,So,Lynchburg VA
GT,12,Demond Smith,DB,"6'0""",185,Jr,Monroe GA
PITT,15,Reggie Mitchell,DB,"6'0""",185,So,Pittsburgh PA
CLEM,26,Garry Peters,CB,"6'0""",185,Sr,Conyers GA
NCSU,30,Mike Stevens,CB,"6'0""",185,Fr,Davidson NC
UNC,16,Alex Dixon,CB,"6'0""",185,So,Clearwater FL
WAKE,13,Jalen Latter,CB,"6'0""",185,So,Charlotte NC
WAKE,24,Josh Okonye,CB,"6'0""",185,Fr,Sugar Land TX
MIAMI,83,Braxton Berrios,WR,"5'9""",185,Fr,Raleigh NC
WAKE,5,Orville Reynolds,WR,"5'9""",185,Sr,Coral Springs FL
GT,29,Isiah Willis,RB,"5'9""",185,So,Marietta GA
PITT,12,Chris Blewitt,K,"5'9""",185,So,Alexandria VA
CLEM,14,Martin Jenkins,DB,"5'9""",185,Sr,Roswell GA
UVA,23,Khalek Shepherd,RB,"5'8""",185,Sr,Upper Marlboro MD
CLEM,3,Artavis Scott,WR,"5'11""",185,Fr,Oldsmar FL
UNC,27,Thomas Jackson,WR,"5'11""",185,Fr,Charlotte NC
WAKE,17,E.J. Scott,WR,"5'11""",185,Sr,Ellicott City MD
UNC,3,Sam Smiley,S,"5'11""",185,So,Jacksonville FL
CLEM,95,Andy Teasdall,P,"5'11""",185,So,Winston-Salem NC
UVA,45,Matt Fortin,LS,"5'11""",185,Sr,West Chester PA
LOU,49,Blake Ramsey,LB,"5'11""",185,So,Louisville KY
GT,6,Chris Milton,DB,"5'11""",185,Jr,Folkston GA
UNC,26,Dominique Green,DB,"5'11""",185,Fr,Laurinburg NC
CLEM,2,Mackensie Alexander,CB,"5'11""",185,Fr,Immokalee FL
UVA,1,Demetrious Nicholson,CB,"5'11""",185,Sr,Virginia Beach VA
MIAMI,4,Phillip Dorsett,WR,"5'10""",185,Sr,Fort Lauderdale FL
NCSU,24,Shawn Boone,S,"5'10""",185,Fr,Palm Beach Gardens FL
UNC,21,Romar Morris,RB,"5'10""",185,So,Salisbury NC
UVA,4,Taquan Mizzell,RB,"5'10""",185,So,Virginia Beach VA
GT,22,Tyler Teknipp,DB,"5'10""",185,So,McDonough GA
NCSU,22,Troy Vincent Jr.,CB,"5'10""",185,Fr,Baltimore MD
NCSU,27,Kalen McCain,S,"6'2""",186,Fr,Durham NC
BC,38,Griff Rogan,WR,"6'1""",186,Sr,Garden City NY
LOU,28,Terrence Ross,S,"6'1""",186,Fr,Apopka FL
CUSE,6,Corey Cooper,WR,"6'0""",186,Fr,Raleigh NC
LOU,12,Kai De La Cruz,WR,"6'0""",186,Sr,Montvale NJ
LOU,13,Andrew Risher,QB,"6'0""",186,So,Louisville KY
LOU,15,Andrew Johnson,CB,"5'9""",186,Sr,Miami FL
VT,,Deon Newsome,WR,"5'11""",186,Fr,Hampton VA
CUSE,4,Brandon Reddish,CB,"5'11""",186,Sr,Brooklyn NY
CUSE,82,Alvin Cornelius,WR,"6'1""",187,So,Staten Island NY
CUSE,1,Julian Whigham,CB,"6'1""",187,Jr,West Palm Beach FL
BC,24,Allen Dawson,DB,"6'0""",187,Fr,Ft. Lauderdale FL
GT,36,Brandon Dumbuya,DB,"5'9""",187,Fr,Stone Mountain GA
NCSU,33,Charlie Twitty,CB,"5'9""",187,So,Raleigh NC
NCSU,13,Bra'Lon Cherry,WR,"5'11""",187,So,New Bern NC
CUSE,6,Ritchy Desir,S,"5'11""",187,Sr,North Miami Beeach FL
MIAMI,87,Garrett Kidd,WR,"6'2""",188,Jr,Midland MI
VT,,Michael Brainard,WR,"6'0""",188,Jr,Clifton VA
NCSU,25,Niles Clark,CB,"5'11""",188,So,Marietta GA
VT,,Corey Gravely,WR,"6'4""",189,Fr,Max Meadows VA
GT,4,Jamal Golden,DB,"6'0""",189,Sr,Wetumpka AL
BC,26,David Dudeck,RB,"5'11""",189,Jr,Hamilton NJ
FSU,3,Ronald Darby,DB,"5'11""",189,Jr,Oxon Hill MD
VT,23,Der'Woun Greene,CB,"5'10""",189,So,Portsmouth VA
CLEM,82,Andrew Maass,WR,"6'4""",190,Sr,Ridgeway SC
LOU,3,Pat Thomas,QB,"6'4""",190,So,Atlanta GA
FSU,24,Matthew McNulty,WR,"6'3""",190,Jr,Jacksonville FL
WAKE,88,Jared Crump,WR,"6'3""",190,So,St. John's FL
CLEM,,Jefferie Gibson,S,"6'3""",190,Fr,Hope Mills NC
GT,47,Jalen Johnson,S,"6'3""",190,Fr,Oneonta AL
CLEM,4,Deshaun Watson,QB,"6'3""",190,Fr,Gainesville GA
NCSU,19,Evan Brabrand,QB,"6'3""",190,Fr,Raleigh NC
UNC,90,Corbin Daly,P,"6'3""",190,Fr,Charlotte NC
GT,93,Antonio Simmons,LB,"6'3""",190,Fr,Jacksonville FL
GT,87,Harrison Butker,K,"6'3""",190,So,Decatur GA
CUSE,16,Keenan Hale,WR,"6'2""",190,Jr,Conyers GA
PITT,23,Tyler Boyd,WR,"6'2""",190,So,Clairton PA
PITT,80,Zach Challingsworth,WR,"6'2""",190,Fr,McDonald PA
UNC,18,Josh Cabrera,WR,"6'2""",190,Fr,Jacksonville NC
DUKE,13,Kane Banner,QB,"6'2""",190,So,Lumberton NC
CLEM,,Alex Spence,K,"6'2""",190,Fr,Florence SC
CUSE,36,Alex Hodgkinson,K,"6'2""",190,Sr,London
PITT,25,Pat Amara,DB,"6'2""",190,Fr,Philadelphia PA
UVA,5,Tim Harris,CB,"6'2""",190,So,Richmond VA
FSU,86,Rosier Dorcin,WR,"6'1""",190,Jr,Miami FL
GT,13,Bennett Barton,WR,"6'1""",190,Fr,Roswell GA
GT,33,Jalen Saunders,WR,"6'1""",190,Fr,Augusta GA
GT,84,Micheal Summers,WR,"6'1""",190,So,Statesboro GA
NCSU,82,Bo Hines,WR,"6'1""",190,Fr,Charlotte NC
UVA,8,Anthony Harris,S,"6'1""",190,Sr,Chesterfield VA
UVA,38,Kelvin Rainey,S,"6'1""",190,So,Houston TX
CLEM,24,Zac Brooks,RB,"6'1""",190,Jr,Jonesboro AR
CLEM,17,Austin McCaskill,QB,"6'1""",190,Jr,Easley SC
GT,13,John Marvin,DB,"6'1""",190,Fr,Ft. Walton Beach FL
UNC,4,Allen Artis,DB,"6'1""",190,Fr,Marietta GA
MIAMI,9,Malcolm Lewis,WR,"6'0""",190,So,Miramar FL
UVA,18,Anthony Cooper,S,"6'0""",190,So,Virginia Beach VA
GT,3,Dennis Andrews,RB,"6'0""",190,So,Tallahassee FL
FSU,32,Larry Lawson III,P,"6'0""",190,So,Tampa FL
WAKE,55,Brad Demuth,LB,"6'0""",190,So,Nashville NC
NCSU,37,Jackson Maples,K,"6'0""",190,Fr,Southern Pines NC
UVA,28,Willem van Reesema,K,"6'0""",190,So,Virginia Beach VA
UNC,41,Daniel Downing,DB,"6'0""",190,So,Greensboro NC
UNC,36,Ryan Mangum,DB,"6'0""",190,So,Raleigh NC
DUKE,5,Johnathan Lloyd,CB,"6'0""",190,Fr,Graham NC
WAKE,15,Allen Ramsey,CB,"6'0""",190,Jr,Fort Lauderdale FL
DUKE,15,Quay Mann,S,"5'9""",190,Fr,Rocky Mount NC
DUKE,9,Josh Snead,RB,"5'9""",190,Sr,Smithfield NC
GT,22,Broderick Snoddy,RB,"5'9""",190,Jr,Carrolton GA
MIAMI,20,Ray Lewis III,DB,"5'9""",190,Fr,Longwood FL
CLEM,13,Adam Humphries,WR,"5'11""",190,Sr,Spartanburg SC
UNC,30,Tyler Royal,WR,"5'11""",190,Fr,Faison NC
CLEM,12,Korrin Wiggins,S,"5'11""",190,So,Durham NC
DUKE,2,Evrett Edwards,S,"5'11""",190,Fr,Woodbridge VA
UNC,25,Kameron Jackson,S,"5'11""",190,So,Madison AL
UNC,27,Darien Rankin,S,"5'11""",190,So,Salisbury NC
UVA,28,Wilfred Wahee,S,"5'11""",190,So,Norfolk VA
WAKE,22,Ryan Janvion,S,"5'11""",190,So,Pembroke Pines FL
NCSU,5,Josh Taylor,QB,"5'11""",190,So,New Bern NC
MIAMI,48,Hugo Delapenha Jr.,DB,"5'11""",190,Sr,Cape Coral FL
UNC,35,Chris Ripberger,DB,"5'11""",190,Fr,Greensboro NC
BC,39,Atem Ntantang,CB,"5'11""",190,Fr,Purcellville VA
UNC,7,Tim Scott,CB,"5'11""",190,Sr,Fredericksburg VA
UNC,6,M.J. Stewart,CB,"5'11""",190,Fr,Arlington VA
CUSE,18,Darius Kelly,S,"5'10""",190,Sr,Sierra Vista AZ
NCSU,9,Jarvis Byrd,S,"5'10""",190,Sr,Pahokee FL
CLEM,32,C.J. Davidson,RB,"5'10""",190,Jr,Clemson SC
CUSE,23,Prince-Tyson Gulley,RB,"5'10""",190,Sr,Akron OH
UVA,22,Daniel Hamm,RB,"5'10""",190,Fr,Wytheville VA
UVA,30,Alec Vozenilek,P,"5'10""",190,Sr,Richmond VA
FSU,37,Keelin Smith,DB,"6'3""",191,So,Fort Pierce FL
BC,33,Jeffrey Jay,WR,"6'2""",191,Sr,Greenwich CT
MIAMI,6,Herb Waters,WR,"6'2""",191,Jr,Homestead FL
VT,31,Brandon Facyson,CB,"6'2""",191,So,Newnan GA
BC,43,John Johnson,CB,"6'0""",191,So,West Hyattsville MD
VT,4,J.C. Coleman,RB,"5'7""",191,Jr,Chesapeake VA
VT,34,Kyshoen Jarrett,S,"5'11""",191,Sr,Tannersville PA
MIAMI,21,Antonio Crawford,DB,"5'11""",191,Jr,Tampa FL
NCSU,27,Dakwa Nichols,RB,"5'10""",191,Fr,Rockingham NC
NCSU,7,Sean Paul,CB,"5'10""",191,So,Vero Beach FL
BC,27,Justin Simmons,DB,"6'3""",192,Jr,Stuart FL
BC,10,Bobby Swigert,WR,"6'1""",192,Sr,Louisville OH
GT,42,Nick Luly,DB,"6'1""",192,Fr,Alpharetta GA
FSU,20,Trey Marshall,DB,"6'0""",192,Fr,Lake City FL
BC,35,Tyler Rouse,RB,"5'9""",192,So,Baldwinsville NY
BC,23,Myles Willis,RB,"5'9""",192,So,Conyers GA
FSU,84,Isaiah Jones,WR,"6'4""",193,So,Milton FL
GT,86,Antonio Messick,WR,"6'3""",193,Fr,Fayetteville GA
NCSU,31,NaQuan Brown,WR,"6'3""",193,Sr,Charlotte NC
LOU,2,Michaelee Harris,WR,"6'2""",193,Sr,Miami FL
VT,,Austin Jones,WR,"6'2""",193,So,Mason OH
FSU,19,Troy Cook,QB,"6'2""",193,Fr,Miami FL
MIAMI,28,Nantambu-Akil Fentress,DB,"5'9""",193,Sr,Nashville TN
BC,37,Drew Barksdale,WR,"5'11""",193,So,Solon OH
BC,30,Joey Launceford,K,"5'10""",193,Jr,Seattle WA
CUSE,84,Ben Lewis,WR,"6'2""",194,So,Middletown MD
VT,8,Detrick Bonner,S,"6'0""",194,Sr,McDonough GA
NCSU,41,Cole Boroughs,CB,"6'0""",194,So,Asheboro NC
FSU,7,Mario Pender,RB,"5'10""",194,Fr,Cape Coral FL
MIAMI,25,Dallas Crawford,RB,"5'10""",194,Jr,Fort Myers FL
UVA,14,Ian Frye,K,"6'6""",195,Jr,Bristol VA
NCSU,2,Jalan McClendon,QB,"6'5""",195,Fr,Charlotte NC
DUKE,81,Jack Wise,WR,"6'4""",195,Sr,Rumson NJ
UNC,84,Bug Howard,WR,"6'4""",195,So,Rochelle GA
UNC,89,Dalton Stogner,WR,"6'4""",195,So,Dallas TX
MIAMI,84,Greg Golden,WR,"6'3""",195,Fr,Red Bank NJ
PITT,2,Adonis Jennings,WR,"6'3""",195,Fr,Sicklerville NJ
UNC,13,Mack Hollins,WR,"6'3""",195,So,Rockville MD
VT,16,Carlis Parker,WR,"6'3""",195,So,Stateville NC
