Team,Number,Name,Position,Height,Weight,Year,Hometown
PITT,83,Scott Orndoff,TE,"6'5""",260,So,Waynesburgh PA
WAKE,89,Neil Basford,TE,"6'5""",260,Jr,Jacksonville FL
DUKE,96,Allen Jackson,DT,"6'5""",260,So,Ellicott City MD
PITT,55,Luke Maclean,DL,"6'5""",260,Fr,Grand Blanc MI
UVA,91,Jack English,DE,"6'5""",260,Fr,Richmond VA
PITT,45,Devon Edwards,TE,"6'4""",260,Fr,Columbus OH
GT,65,Trey Klock,OL,"6'4""",260,Fr,Hummelstown PA
WAKE,91,Johnny Garcia,NT,"6'4""",260,Sr,Cape Coral FL
NCSU,68,Colton Stortz,DT,"6'4""",260,Fr,Denver NC
UVA,56,Andre Miles-Redmond,DT,"6'4""",260,So,Richmond VA
DUKE,42,Dezmond Johnson,DE,"6'4""",260,Sr,Nashville TN
MIAMI,94,Anthony Naser,DE,"6'4""",260,Jr,San Diego CA
UNC,90,Jessie Rogers,DE,"6'4""",260,Jr,Arlington TX
DUKE,46,Keilin Rayner,DT,"6'3""",260,So,Leland NC
GT,61,Adrian Gardner,DE,"6'2""",260,Jr,Dawson GA
UNC,74,Arien Smith,C,"6'1""",260,So,Graham NC
PITT,64,Trent Neavin,DL,"6'0""",260,Fr,Martins Ferry OH
CLEM,59,Justin Miller,C,"6'0""",260,Fr,Six Mile SC
MIAMI,5,Standish Dobard,TE,"6'4""",261,So,Belle Chasse LA
LOU,52,Nick Dawson-Brents,DE,"6'3""",261,So,Charlotte NC
BC,88,Michael Giacone,TE,"6'5""",262,Jr,Jersey City NJ
LOU,57,Cameron Fraser,OL,"6'4""",262,Fr,Phenix City AL
LOU,89,Keith Towbridge,TE,"6'5""",263,So,Toledo OH
GT,67,Jake Stickler,OL,"6'5""",263,Fr,Bradenton FL
MIAMI,46,Clive Walford,TE,"6'4""",263,Sr,Belle Glade FL
GT,68,Michael Muns,OL,"6'4""",263,So,Swainsboro GA
GT,41,Roderick Rook-Chungong,DE,"6'3""",263,So,Silver Spring MD
NCSU,35,Kentavius Street,DE,"6'2""",264,Fr,Greenville NC
CUSE,74,Seamus Shanley,G,"6'1""",264,Jr,Syracuse NY
NCSU,93,Rogers Clark,DT,"6'1""",264,So,Woodberry Forest VA
VT,60,Woody Baron,DT,"6'1""",264,So,Nashville TN
LOU,15,Hunter Bowles,TE,"6'6""",265,So,Glasgow KY
